IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.37.12,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,220,12.1
47.245.59.243,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,126,12.1
47.242.79.71,443,443,TRUE,HKG,Asia Pacific,Hong Kong,74,12.09
8.219.11.158,8443,8443,TRUE,SIN,Asia Pacific,Singapore,72,12.08
47.91.15.247,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,167,12.08
8.219.178.9,2096,2096,TRUE,SIN,Asia Pacific,Singapore,31,12.08
8.219.198.139,443,443,TRUE,SIN,Asia Pacific,Singapore,81,12.07
8.219.67.133,2096,2096,TRUE,SIN,Asia Pacific,Singapore,44,12.07
47.236.29.235,2083,2083,TRUE,SIN,Asia Pacific,Singapore,62,12.06
8.219.235.164,2053,2053,TRUE,SIN,Asia Pacific,Singapore,110,12.06
47.74.9.174,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,166,12.06
8.219.83.201,2087,2087,TRUE,SIN,Asia Pacific,Singapore,132,12.05
8.219.70.117,2087,2087,TRUE,SIN,Asia Pacific,Singapore,96,12.05
47.236.172.41,2053,2053,TRUE,SIN,Asia Pacific,Singapore,82,12.05
47.245.28.255,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,150,12.04
8.217.85.14,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,68,12.03
47.245.52.165,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,161,12.03
8.219.107.199,2096,2096,TRUE,SIN,Asia Pacific,Singapore,152,12.03
8.219.140.63,443,443,TRUE,SIN,Asia Pacific,Singapore,152,12.03
47.91.31.231,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,86,12.03
8.219.174.142,443,443,TRUE,SIN,Asia Pacific,Singapore,128,12.02
8.219.79.74,2096,2096,TRUE,SIN,Asia Pacific,Singapore,81,12.01
47.245.10.77,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,189,12.01
8.219.77.222,2053,2053,TRUE,SIN,Asia Pacific,Singapore,129,12.01
47.245.31.0,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,176,12.01
47.236.164.215,8443,8443,TRUE,SIN,Asia Pacific,Singapore,97,12
47.245.55.99,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,175,12
8.219.63.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,85,12
