IP地址		端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.151.193	:	2096	2096	TRUE	SIN	Asia Pacific	Singapore	82	12.26
8.219.86.200	:	8443	8443	TRUE	SIN	Asia Pacific	Singapore	36	12.26
8.219.175.127	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	107	12.25
8.219.233.6	:	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	182	12.25
8.219.236.8	:	8443	8443	TRUE	SIN	Asia Pacific	Singapore	98	12.25
8.219.185.191	:	2096	2096	TRUE	SIN	Asia Pacific	Singapore	48	12.24
47.236.150.109	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	71	12.24
8.219.92.89	:	8443	8443	TRUE	SIN	Asia Pacific	Singapore	87	12.24
47.74.13.66	:	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	95	12.23
8.219.193.22	:	2087	2087	TRUE	SIN	Asia Pacific	Singapore	115	12.23
47.236.103.153	:	2096	2096	TRUE	SIN	Asia Pacific	Singapore	155	12.22
8.219.82.177	:	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	192	12.22
47.245.84.155	:	8443	8443	TRUE	SIN	Asia Pacific	Singapore	80	12.22
47.91.22.115	:	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	85	12.22
47.74.20.143	:	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	165	12.21
8.219.122.55	:	8443	8443	TRUE	SIN	Asia Pacific	Singapore	129	12.21
8.222.221.109	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	26	12.21
8.219.228.186	:	443	443	TRUE	SIN	Asia Pacific	Singapore	111	12.2
8.210.107.246	:	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	89	12.2
8.219.253.18	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	38	12.19
8.219.50.180	:	2053	2053	TRUE	SIN	Asia Pacific	Singapore	3	12.19
47.91.2.5	:	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	83	12.19
8.219.208.69	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	143	12.19
8.219.111.175	:	443	443	TRUE	SIN	Asia Pacific	Singapore	144	12.19
8.219.201.245	:	2087	2087	TRUE	SIN	Asia Pacific	Singapore	215	12.17
8.219.142.191	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	90	12.15
8.219.194.170	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	114	12.15
8.219.114.201	:	2053	2053	TRUE	SIN	Asia Pacific	Singapore	81	12.15
8.219.115.215	:	2087	2087	TRUE	SIN	Asia Pacific	Singapore	74	12.15
47.245.113.12	:	2096	2096	TRUE	SIN	Asia Pacific	Singapore	62	12.14
8.219.134.117	:	2083	2083	TRUE	SIN	Asia Pacific	Singapore	121	12.14
8.219.137.50	:	443	443	TRUE	SIN	Asia Pacific	Singapore	55	12.13
8.219.175.127		2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	70	12.13
8.222.214.231		2083	2083	TRUE	SIN	Asia Pacific	Singapore	100	12.13
47.74.38.250		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	105	12.13
8.219.97.179		443	443	TRUE	SIN	Asia Pacific	Singapore	125	12.12
47.74.19.68		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	170	12.12
47.245.11.62		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	108	12.12
8.219.56.205		2087	2087	TRUE	SIN	Asia Pacific	Singapore	77	12.11
8.219.178.101		8443	8443	TRUE	SIN	Asia Pacific	Singapore	103	12.11
8.219.99.169		2087	2087	TRUE	SIN	Asia Pacific	Singapore	117	12.11
8.219.84.214		443	443	TRUE	SIN	Asia Pacific	Singapore	91	12.11
8.219.170.223		2053	2053	TRUE	SIN	Asia Pacific	Singapore	198	12.11
8.209.243.137		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	97	12.1
47.236.176.144		2083	2083	TRUE	SIN	Asia Pacific	Singapore	74	12.1
47.74.14.85		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	297	12.1
47.74.43.95		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	111	12.1
47.74.36.154		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	85	12.09
47.236.21.51		2087	2087	TRUE	SIN	Asia Pacific	Singapore	72	12.09
8.219.61.52		2053	2053	TRUE	SIN	Asia Pacific	Singapore	181	12.09
47.245.15.39		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	88	12.09
8.219.249.148		2087	2087	TRUE	SIN	Asia Pacific	Singapore	83	12.09
8.219.4.122		443	443	TRUE	HKG	Asia Pacific	Hong Kong	77	12.08
47.245.12.179		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	133	12.07
47.91.21.127		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	108	12.07
8.219.12.152		2053	2053	TRUE	SIN	Asia Pacific	Singapore	105	12.07
8.222.222.64		2083	2083	TRUE	SIN	Asia Pacific	Singapore	47	12.07
8.218.143.10		2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	145	12.06
47.74.13.200		2096	2096	TRUE	NRT	Asia Pacific	Tokyo	161	12.06
8.219.42.72		2083	2083	TRUE	SIN	Asia Pacific	Singapore	90	12.05
47.245.10.156		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	119	12.05
8.219.142.229		2053	2053	TRUE	SIN	Asia Pacific	Singapore	76	12.04
8.219.237.250		2053	2053	TRUE	SIN	Asia Pacific	Singapore	131	12.04
8.219.114.201		443	443	TRUE	SIN	Asia Pacific	Singapore	172	12.04
8.222.240.47		2053	2053	TRUE	SIN	Asia Pacific	Singapore	74	12.03
8.219.170.232		8443	8443	TRUE	SIN	Asia Pacific	Singapore	159	12.03
8.219.215.214		443	443	TRUE	SIN	Asia Pacific	Singapore	132	12.03
47.236.150.13		2087	2087	TRUE	SIN	Asia Pacific	Singapore	92	12.03
8.219.194.170		2053	2053	TRUE	SIN	Asia Pacific	Singapore	176	12.02
47.245.32.215		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	88	12.02
47.74.41.136		2087	2087	TRUE	NRT	Asia Pacific	Tokyo	131	12.02
8.219.199.220		8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	142	12.01
47.91.21.127		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	107	12.01
8.219.228.186		443	443	TRUE	SIN	Asia Pacific	Singapore	75	12
47.74.4.47		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	177	11.99
47.74.50.249		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	134	11.99
8.219.122.96		2087	2087	TRUE	SIN	Asia Pacific	Singapore	57	11.98
47.74.19.68		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	219	11.97
47.245.37.37		2096	2096	TRUE	NRT	Asia Pacific	Tokyo	126	11.97
8.209.222.232		2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	163	11.96
47.245.108.213		2096	2096	TRUE	SIN	Asia Pacific	Singapore	98	11.96
47.236.121.7		2083	2083	TRUE	SIN	Asia Pacific	Singapore	89	11.96
8.218.174.118		2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	70	11.95
8.222.221.90		2053	2053	TRUE	SIN	Asia Pacific	Singapore	79	11.95
47.74.36.154		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	80	11.95
8.209.214.222		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	113	11.95
8.219.201.174		2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	147	11.95
47.74.6.16		2096	2096	TRUE	NRT	Asia Pacific	Tokyo	88	11.94
8.219.107.135		2083	2083	TRUE	SIN	Asia Pacific	Singapore	112	11.93
47.245.41.84		8443	8443	TRUE	NRT	Asia Pacific	Tokyo	146	11.93
8.222.222.64		2096	2096	TRUE	SIN	Asia Pacific	Singapore	143	11.93
47.74.11.219		2053	2053	TRUE	NRT	Asia Pacific	Tokyo	130	11.93
8.219.99.8		2083	2083	TRUE	SIN	Asia Pacific	Singapore	113	11.92
8.219.163.195		8443	8443	TRUE	SIN	Asia Pacific	Singapore	89	11.91
8.219.99.8		443	443	TRUE	SIN	Asia Pacific	Singapore	177	11.89
8.219.245.187		2096	2096	TRUE	SIN	Asia Pacific	Singapore	115	11.89
47.91.1.199		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	142	11.88
8.209.212.5		2083	2083	TRUE	NRT	Asia Pacific	Tokyo	90	11.88
