IP地址,端口,机房,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
204.93.210.127,8443,SEA,4,4,0.00,211.52,85.54
27.50.48.250,2096,SEA,4,4,0.00,212.49,83.74
185.146.173.12,443,HKG,4,4,0.00,66.89,83.42
93.113.175.66,2083,SEA,4,4,0.00,211.53,80.89
91.195.110.131,2083,SEA,4,4,0.00,210.47,80.00
168.100.6.132,2087,SEA,4,4,0.00,210.24,79.70
188.42.145.66,2083,SEA,4,4,0.00,211.42,77.55
88.216.66.74,2053,SEA,4,4,0.00,210.40,77.35
23.227.60.223,443,HKG,4,4,0.00,75.52,73.39
77.74.228.97,2087,SEA,4,4,0.00,212.94,70.58
66.235.200.29,2087,HKG,4,4,0.00,78.61,69.83
185.176.26.94,443,SEA,4,4,0.00,213.18,68.86
77.74.228.97,8443,SEA,4,4,0.00,209.88,63.15
193.227.99.187,2053,SEA,4,4,0.00,213.47,58.10
185.146.173.12,2087,HKG,4,4,0.00,66.89,56.11
154.206.12.245,2087,SEA,4,4,0.00,210.05,54.10
88.216.66.74,443,SEA,4,4,0.00,213.11,49.00
154.197.88.176,8443,SEA,4,4,0.00,213.20,36.59
45.142.120.236,2087,SEA,4,4,0.00,212.75,35.08
185.146.173.12,2083,HKG,4,4,0.00,72.33,34.85
